WatchSE_SpaceGray,40mm,Apple Watch SE,WatchSE_SpaceGray.png,深空灰色铝金属
WatchSE_Silver,40mm,Apple Watch SE,WatchSE_Silver.png,银色铝金属

WatchSE_SpaceGray,44mm,Apple Watch SE,WatchSE_SpaceGray.png,深空灰色铝金属
WatchSE_Silver,44mm,Apple Watch SE,WatchSE_Silver.png,银色铝金属

watchS7_Starlight,41mm,Apple Watch Series 7,watchS7_Starlight.png,星光色铝金属
watchS7_Midnight,41mm,Apple Watch Series 7,watchS7_Midnight.png,午夜色铝金属

watchS7_Starlight,45mm,Apple Watch Series 7,watchS7_Starlight.png,星光色铝金属
watchS7_Midnight,45mm,Apple Watch Series 7,watchS7_Midnight.png,午夜色铝金属
watchS7_Green,45mm,Apple Watch Series 7,watchS7_Green.png,绿色铝金属
